pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
ETH/USDT,2025-04-11 20:30:00+00:00,2025-04-11 21:40:00+00:00,1571.75,1569.12,0.12,188.61,-0.54174264,-0.0028705677818058654,exit_signal,70,False
SOL/USDT,2025-04-11 20:30:00+00:00,2025-04-11 21:50:00+00:00,121.57,121.05,1.6,194.512,-1.0649152,-0.005471521726266699,exit_signal,80,False
SOL/USDT,2025-04-11 23:55:00+00:00,2025-04-12 01:25:00+00:00,121.84,120.72,1.6,194.944,-2.04427536,-0.010480186773031386,exit_signal,90,False
SOL/USDT,2025-04-12 04:30:00+00:00,2025-04-12 04:30:00+00:00,121.07,123.63822493496097,1.6,193.712,3.87424,0.01998800719568259,roi,0,False
SOL/USDT,2025-04-12 04:35:00+00:00,2025-04-12 05:35:00+00:00,121.8,122.57,1.6,194.88,0.9974048,0.005114976990817004,roi,60,False
SOL/USDT,2025-04-12 06:35:00+00:00,2025-04-12 07:45:00+00:00,123.27,124.03473283970382,1.6,197.232,0.98616,0.004997001798920648,roi,70,False
SOL/USDT,2025-04-12 07:50:00+00:00,2025-04-12 09:00:00+00:00,123.83,124.5982069241545,1.6,198.128,0.9707696,0.004896771216120364,roi,70,False
ETH/USDT,2025-04-12 08:10:00+00:00,2025-04-12 10:45:00+00:00,1595.86,1588.64,0.12,191.5032,-1.095684,-0.005718061023574093,exit_signal,155,False
SOL/USDT,2025-04-12 09:05:00+00:00,2025-04-12 10:45:00+00:00,124.63,124.12,1.5,186.945,-0.988875,-0.0052864854945654126,exit_signal,100,False
SOL/USDT,2025-04-12 11:05:00+00:00,2025-04-12 12:35:00+00:00,124.74,125.51385231138683,1.5,187.11,0.93555,0.004997001798920648,roi,90,False
ETH/USDT,2025-04-12 12:40:00+00:00,2025-04-12 13:40:00+00:00,1614.08,1624.0933039823894,0.12,193.6896,0.968448,0.004997001798920648,roi,60,False
SOL/USDT,2025-04-12 12:40:00+00:00,2025-04-12 13:40:00+00:00,126.04,126.83,1.5,189.06,0.957417,0.005061054132357145,roi,60,False
ETH/USDT,2025-04-12 13:45:00+00:00,2025-04-12 14:20:00+00:00,1624.15,1658.6026515909546,0.12,194.898,3.89796,0.01998800719568259,roi,35,False
SOL/USDT,2025-04-12 13:45:00+00:00,2025-04-12 14:20:00+00:00,127.52,130.22504702821692,1.5,191.28,3.8256,0.01998800719568259,roi,35,False
SOL/USDT,2025-04-12 14:25:00+00:00,2025-04-12 15:20:00+00:00,130.15,131.60855513307988,1.5,195.225,1.95225,0.009994003597841295,roi,55,False
BTC/USDT,2025-04-12 14:10:00+00:00,2025-04-12 15:30:00+00:00,84653.5,85178.66680008004,0.002,169.307,0.846535,0.004997001798920648,roi,80,False
ETH/USDT,2025-04-12 14:25:00+00:00,2025-04-12 16:45:00+00:00,1663.15,1645.91,0.12,199.578,-2.3269176,-0.011652197570012842,exit_signal,140,False
SOL/USDT,2025-04-12 15:25:00+00:00,2025-04-12 16:50:00+00:00,131.11,129.34,1.5,196.665,-2.90117591,-0.014743021118404646,exit_signal,85,False
BTC/USDT,2025-04-12 15:35:00+00:00,2025-04-12 16:50:00+00:00,85188.2,84598.3,0.002,170.3764,-1.38604553,-0.00813031852626998,exit_signal,75,False
ETH/USDT,2025-04-12 18:50:00+00:00,2025-04-12 19:30:00+00:00,1651.1,1639.49,0.12,198.132,-1.63012248,-0.008222523332950748,exit_signal,40,False
SOL/USDT,2025-04-12 18:50:00+00:00,2025-04-12 20:05:00+00:00,130.37,131.17877926756051,1.5,195.555,0.977775,0.004997001798920647,roi,75,False
SOL/USDT,2025-04-12 20:35:00+00:00,2025-04-12 22:00:00+00:00,132.31,133.13081448869323,1.5,198.465,0.992325,0.004997001798920648,roi,85,False
ETH/USDT,2025-04-12 20:35:00+00:00,2025-04-12 23:15:00+00:00,1652.76,1646.47,0.12,198.3312,-0.99234456,-0.0050004714855445016,exit_signal,160,False
SOL/USDT,2025-04-13 00:20:00+00:00,2025-04-13 01:30:00+00:00,132.83,133.65404042425456,1.5,199.245,0.996225,0.0049970017989206484,roi,70,False
SOL/USDT,2025-04-13 03:00:00+00:00,2025-04-13 03:50:00+00:00,132.84,131.71,1.5,199.26,-1.933095,-0.00969555273761368,exit_signal,50,False
SOL/USDT,2025-04-14 02:10:00+00:00,2025-04-14 02:30:00+00:00,130.95,133.72780668401037,1.5,196.425,3.9285,0.01998800719568259,roi,20,False
BTC/USDT,2025-04-14 02:30:00+00:00,2025-04-14 03:55:00+00:00,84994.9,84491.0,0.002,169.9898,-1.21118308,-0.007120761398133594,exit_signal,85,False
SOL/USDT,2025-04-14 02:35:00+00:00,2025-04-14 03:55:00+00:00,135.41,131.61,1.4,189.574,-5.5442968,-0.029228545141580582,exit_signal,80,False
ETH/USDT,2025-04-14 02:25:00+00:00,2025-04-14 04:25:00+00:00,1630.34,1633.45,0.12,195.6408,0.13820712,0.000706009408327549,roi,120,False
ETH/USDT,2025-04-14 04:30:00+00:00,2025-04-14 05:40:00+00:00,1635.91,1625.92,0.12,196.3092,-1.43365176,-0.0072986497054093775,exit_signal,70,False
